manudur,atvinnugrein,fjoldi,heildarfjoldi,hlutur
2000-02,Landbúnaður og skógrækt,51,2845,0.017926
2000-02,"Fiskveiðar, -eldi og -vinnsla",393,2845,0.138137
2000-02,Iðnaður,394,2845,0.138489
2000-02,Sorp og veitur,33,2845,0.011599
2000-02,Byggingastarfsemi og mannvirkjagerð,150,2845,0.052724
2000-02,Verslun og vöruflutningar,598,2845,0.210193
2000-02,Farþegaflutningar með flugi,8,2845,0.002812
2000-02,Gistiþjónusta,61,2845,0.021441
2000-02,Veitingaþjónusta,113,2845,0.039719
2000-02,Ferðaþjónusta ýmis,29,2845,0.010193
2000-02,Upplýsingar og fjarskipti,54,2845,0.018981
2000-02,Fjármála- og vátryggingastarfsemi,52,2845,0.018278
2000-02,Fasteignaviðskipti,4,2845,0.001406
2000-02,"Sérfræðileg, vísindaleg og tæknileg starfsemi",34,2845,0.011951
2000-02,Ýmis þjónustustarfsemi,116,2845,0.040773
2000-02,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",499,2845,0.175395
2000-02,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",160,2845,0.056239
2000-02,Annað,96,2845,0.033743
2000-03,Landbúnaður og skógrækt,41,2801,0.014638
2000-03,"Fiskveiðar, -eldi og -vinnsla",414,2801,0.147804
2000-03,Iðnaður,350,2801,0.124955
2000-03,Sorp og veitur,36,2801,0.012853
2000-03,Byggingastarfsemi og mannvirkjagerð,160,2801,0.057122
2000-03,Verslun og vöruflutningar,620,2801,0.221350
2000-03,Farþegaflutningar með flugi,10,2801,0.003570
2000-03,Gistiþjónusta,59,2801,0.021064
2000-03,Veitingaþjónusta,106,2801,0.037844
2000-03,Ferðaþjónusta ýmis,34,2801,0.012139
2000-03,Upplýsingar og fjarskipti,47,2801,0.016780
2000-03,Fjármála- og vátryggingastarfsemi,47,2801,0.016780
2000-03,Fasteignaviðskipti,4,2801,0.001428
2000-03,"Sérfræðileg, vísindaleg og tæknileg starfsemi",39,2801,0.013924
2000-03,Ýmis þjónustustarfsemi,101,2801,0.036059
2000-03,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",484,2801,0.172795
2000-03,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",157,2801,0.056051
2000-03,Annað,92,2801,0.032845
2000-04,Landbúnaður og skógrækt,36,2561,0.014057
2000-04,"Fiskveiðar, -eldi og -vinnsla",369,2561,0.144084
2000-04,Iðnaður,343,2561,0.133932
2000-04,Sorp og veitur,33,2561,0.012886
2000-04,Byggingastarfsemi og mannvirkjagerð,126,2561,0.049200
2000-04,Verslun og vöruflutningar,559,2561,0.218274
2000-04,Farþegaflutningar með flugi,7,2561,0.002733
2000-04,Gistiþjónusta,49,2561,0.019133
2000-04,Veitingaþjónusta,97,2561,0.037876
2000-04,Ferðaþjónusta ýmis,29,2561,0.011324
2000-04,Upplýsingar og fjarskipti,48,2561,0.018743
2000-04,Fjármála- og vátryggingastarfsemi,38,2561,0.014838
2000-04,Fasteignaviðskipti,4,2561,0.001562
2000-04,"Sérfræðileg, vísindaleg og tæknileg starfsemi",35,2561,0.013667
2000-04,Ýmis þjónustustarfsemi,89,2561,0.034752
2000-04,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",461,2561,0.180008
2000-04,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",152,2561,0.059352
2000-04,Annað,86,2561,0.033581
2000-05,Landbúnaður og skógrækt,30,2241,0.013387
2000-05,"Fiskveiðar, -eldi og -vinnsla",288,2241,0.128514
2000-05,Iðnaður,271,2241,0.120928
2000-05,Sorp og veitur,26,2241,0.011602
2000-05,Byggingastarfsemi og mannvirkjagerð,84,2241,0.037483
2000-05,Verslun og vöruflutningar,513,2241,0.228916
2000-05,Farþegaflutningar með flugi,6,2241,0.002677
2000-05,Gistiþjónusta,44,2241,0.019634
2000-05,Veitingaþjónusta,97,2241,0.043284
2000-05,Ferðaþjónusta ýmis,19,2241,0.008478
2000-05,Upplýsingar og fjarskipti,41,2241,0.018295
2000-05,Fjármála- og vátryggingastarfsemi,37,2241,0.016510
2000-05,Fasteignaviðskipti,5,2241,0.002231
2000-05,"Sérfræðileg, vísindaleg og tæknileg starfsemi",35,2241,0.015618
2000-05,Ýmis þjónustustarfsemi,78,2241,0.034806
2000-05,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",440,2241,0.196341
2000-05,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",149,2241,0.066488
2000-05,Annað,78,2241,0.034806
2000-06,Landbúnaður og skógrækt,19,2109,0.009009
2000-06,"Fiskveiðar, -eldi og -vinnsla",211,2109,0.100047
2000-06,Iðnaður,258,2109,0.122333
2000-06,Sorp og veitur,22,2109,0.010431
2000-06,Byggingastarfsemi og mannvirkjagerð,72,2109,0.034139
2000-06,Verslun og vöruflutningar,464,2109,0.220009
2000-06,Farþegaflutningar með flugi,6,2109,0.002845
2000-06,Gistiþjónusta,31,2109,0.014699
2000-06,Veitingaþjónusta,96,2109,0.045519
2000-06,Ferðaþjónusta ýmis,12,2109,0.005690
2000-06,Upplýsingar og fjarskipti,42,2109,0.019915
2000-06,Fjármála- og vátryggingastarfsemi,42,2109,0.019915
2000-06,Fasteignaviðskipti,5,2109,0.002371
