Menntun,Kyn,Starfsstétt,Ár,value
Total,Males and females,Total,1991,136900
Total,Males and females,Total,1992,136800
Total,Males and females,Total,1993,136600
Total,Males and females,Total,1994,137700
Total,Males and females,Total,1995,141800
Total,Males and females,Total,1996,142000
Total,Males and females,Total,1997,142000
Total,Males and females,Total,1998,147900
Total,Males and females,Total,1999,153300
Total,Males and females,Total,2000,156400
Total,Males and females,Total,2001,159000
Total,Males and females,Total,2002,156700
Total,Males and females,Total,2003,153400
Total,Males and females,Total,2004,153400
Total,Males and females,Total,2005,158600
Total,Males and females,Total,2006,165400
Total,Males and females,Total,2007,172500
Total,Males and females,Total,2008,173700
Total,Males and females,Total,2009,162800
Total,Males and females,Total,2010,162300
Total,Males and females,Total,2011,161800
Total,Males and females,Total,2012,164800
Total,Males and females,Total,2013,170300
Total,Males and females,Total,2014,173600
Total,Males and females,Total,2015,180400
Total,Males and females,Total,2016,188800
Total,Males and females,Total,2017,192200
Total,Males and females,Total,2018,195900
Total,Males and females,Total,2019,196600
Total,Males and females,Total,2020,190300
Total,Males and females,Total,2021,197800
Total,Males and females,Total,2022,211600
Total,Males and females,Total,2023,219200
Total,Males and females,Total,2024,227300
Total,Males and females,Total,2025,224800
Total,Males and females,Legislators and managers,1991,11500
Total,Males and females,Legislators and managers,1992,12800
Total,Males and females,Legislators and managers,1993,12500
Total,Males and females,Legislators and managers,1994,11700
Total,Males and females,Legislators and managers,1995,11200
Total,Males and females,Legislators and managers,1996,10400
Total,Males and females,Legislators and managers,1997,10800
Total,Males and females,Legislators and managers,1998,11400
Total,Males and females,Legislators and managers,1999,10300
Total,Males and females,Legislators and managers,2000,9900
Total,Males and females,Legislators and managers,2001,12400
Total,Males and females,Legislators and managers,2002,12700
Total,Males and females,Legislators and managers,2003,10000
Total,Males and females,Legislators and managers,2004,11500
Total,Males and females,Legislators and managers,2005,11700
Total,Males and females,Legislators and managers,2006,13900
Total,Males and females,Legislators and managers,2007,15900
Total,Males and females,Legislators and managers,2008,16500
Total,Males and females,Legislators and managers,2009,16200
Total,Males and females,Legislators and managers,2010,14100
Total,Males and females,Legislators and managers,2011,14200
Total,Males and females,Legislators and managers,2012,16200
Total,Males and females,Legislators and managers,2013,17900
Total,Males and females,Legislators and managers,2014,16200
Total,Males and females,Legislators and managers,2015,16300
Total,Males and females,Legislators and managers,2016,18300
Total,Males and females,Legislators and managers,2017,18800
Total,Males and females,Legislators and managers,2018,19000
Total,Males and females,Legislators and managers,2019,21000
Total,Males and females,Legislators and managers,2020,23700
Total,Males and females,Legislators and managers,2021,25700
Total,Males and females,Legislators and managers,2022,26800
Total,Males and females,Legislators and managers,2023,27900
Total,Males and females,Legislators and managers,2024,30000
Total,Males and females,Legislators and managers,2025,28000
Total,Males and females,Professionals,1991,16200
Total,Males and females,Professionals,1992,16200
Total,Males and females,Professionals,1993,16000
Total,Males and females,Professionals,1994,17200
Total,Males and females,Professionals,1995,18900
Total,Males and females,Professionals,1996,19600
Total,Males and females,Professionals,1997,18300
Total,Males and females,Professionals,1998,18700
Total,Males and females,Professionals,1999,21500
Total,Males and females,Professionals,2000,21300
Total,Males and females,Professionals,2001,23300
Total,Males and females,Professionals,2002,25100
Total,Males and females,Professionals,2003,25700
Total,Males and females,Professionals,2004,23700
Total,Males and females,Professionals,2005,27100
Total,Males and females,Professionals,2006,28600
Total,Males and females,Professionals,2007,29300
Total,Males and females,Professionals,2008,33700
Total,Males and females,Professionals,2009,32800
Total,Males and females,Professionals,2010,33000
Total,Males and females,Professionals,2011,32500
Total,Males and females,Professionals,2012,33600
