Kyn og landsvæði,Atvinnigrein (aðal- og aukastarf),Ár,Eining,value
Total,Employment,1991,Number (main and second job),136900
Total,Employment,1991,95% Conf.Int,3700
Total,Employment,1992,Number (main and second job),136900
Total,Employment,1992,95% Conf.Int,3400
Total,Employment,1993,Number (main and second job),136600
Total,Employment,1993,95% Conf.Int,3400
Total,Employment,1994,Number (main and second job),137700
Total,Employment,1994,95% Conf.Int,3400
Total,Employment,1995,Number (main and second job),141800
Total,Employment,1995,95% Conf.Int,3400
Total,Employment,1996,Number (main and second job),142000
Total,Employment,1996,95% Conf.Int,3500
Total,Employment,1997,Number (main and second job),142000
Total,Employment,1997,95% Conf.Int,3500
Total,Employment,1998,Number (main and second job),147900
Total,Employment,1998,95% Conf.Int,3600
Total,Employment,1999,Number (main and second job),153300
Total,Employment,1999,95% Conf.Int,3700
Total,Employment,2000,Number (main and second job),156400
Total,Employment,2000,95% Conf.Int,3800
Total,Employment,2001,Number (main and second job),159000
Total,Employment,2001,95% Conf.Int,3900
Total,Employment,2002,Number (main and second job),156700
Total,Employment,2002,95% Conf.Int,3900
Total,Employment,2003,Number (main and second job),153400
Total,Employment,2003,95% Conf.Int,3000
Total,Employment,2004,Number (main and second job),153400
Total,Employment,2004,95% Conf.Int,3000
Total,Employment,2005,Number (main and second job),158600
Total,Employment,2005,95% Conf.Int,3100
Total,Employment,2006,Number (main and second job),165400
Total,Employment,2006,95% Conf.Int,3200
Total,Employment,2007,Number (main and second job),172500
Total,Employment,2007,95% Conf.Int,3400
Total,Employment,2008,Number (main and second job),173700
Total,Employment,2008,95% Conf.Int,3400
Total,Employment,2009,Number (main and second job),162800
Total,Employment,2009,95% Conf.Int,3300
Total,Employment,2010,Number (main and second job),162300
Total,Employment,2010,95% Conf.Int,3300
Total,Employment,2011,Number (main and second job),161800
Total,Employment,2011,95% Conf.Int,3300
Total,Employment,2012,Number (main and second job),164800
Total,Employment,2012,95% Conf.Int,3300
Total,Employment,2013,Number (main and second job),170300
Total,Employment,2013,95% Conf.Int,3400
Total,Employment,2014,Number (main and second job),173600
Total,Employment,2014,95% Conf.Int,3500
Total,Employment,2015,Number (main and second job),180400
Total,Employment,2015,95% Conf.Int,3700
Total,Employment,2016,Number (main and second job),188800
Total,Employment,2016,95% Conf.Int,3900
Total,Employment,2017,Number (main and second job),192200
Total,Employment,2017,95% Conf.Int,4200
Total,Employment,2018,Number (main and second job),195900
Total,Employment,2018,95% Conf.Int,3900
Total,Employment,2019,Number (main and second job),196600
Total,Employment,2019,95% Conf.Int,4200
Total,Employment,2020,Number (main and second job),190300
Total,Employment,2020,95% Conf.Int,3900
Total,Employment,2021,Number (main and second job),196800
Total,Employment,2021,95% Conf.Int,4100
Total,Employment,2022,Number (main and second job),210600
Total,Employment,2022,95% Conf.Int,4500
