Mælikvarði,Atvinnugrein,Ár,value
Index 2008=100,"A. Agriculture, forestry and fishing",2008,100
Index 2008=100,"A. Agriculture, forestry and fishing",2009,94.6
Index 2008=100,"A. Agriculture, forestry and fishing",2010,84
Index 2008=100,"A. Agriculture, forestry and fishing",2011,81.5
Index 2008=100,"A. Agriculture, forestry and fishing",2012,87
Index 2008=100,"A. Agriculture, forestry and fishing",2013,89.9
Index 2008=100,"A. Agriculture, forestry and fishing",2014,90
Index 2008=100,"A. Agriculture, forestry and fishing",2015,96.5
Index 2008=100,"A. Agriculture, forestry and fishing",2016,101.1
Index 2008=100,"A. Agriculture, forestry and fishing",2017,113
Index 2008=100,"A. Agriculture, forestry and fishing",2018,121.9
Index 2008=100,"A. Agriculture, forestry and fishing",2019,127.5
Index 2008=100,"A. Agriculture, forestry and fishing",2020,126
Index 2008=100,"A. Agriculture, forestry and fishing",2021,127.4
Index 2008=100,"A. Agriculture, forestry and fishing",2022,131.2
Index 2008=100,"A. Agriculture, forestry and fishing",2023,136
Index 2008=100,"A. Agriculture, forestry and fishing",2024,116.8
Index 2008=100,"A. Agriculture, forestry and fishing",2025,115.8
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2008,100
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2009,108
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2010,109.4
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2011,108.9
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2012,111.1
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2013,112.4
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2014,117.5
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2015,118.6
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2016,115
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2017,115.2
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2018,121.8
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2019,117.5
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2020,119.2
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2021,129.7
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2022,130.9
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2023,124.1
Index 2008=100,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2024,125.7
