Ársfjórðungur,Landsvæði,Kyn,Aldur,Eining,value
2003Q1,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4
2003Q1,Total,Males and females,16-74,Unemployed (Estimated number),6200
2003Q1,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",9.2
2003Q1,Total,Males and females,16-24,Unemployed (Estimated number),2200
2003Q1,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3.2
2003Q1,Total,Males and females,25-54,Unemployed (Estimated number),3300
2003Q1,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.9
2003Q1,Total,Males and females,55-74,Unemployed (Estimated number),700
2003Q1,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.8
2003Q1,Total,Males,16-74,Unemployed (Estimated number),3900
2003Q1,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",12.2
2003Q1,Total,Males,16-24,Unemployed (Estimated number),1500
2003Q1,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.2
2003Q1,Total,Males,25-54,Unemployed (Estimated number),1800
2003Q1,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.6
2003Q1,Total,Males,55-74,Unemployed (Estimated number),700
2003Q1,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.2
2003Q1,Total,Females,16-74,Unemployed (Estimated number),2300
2003Q1,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",6
2003Q1,Total,Females,16-24,Unemployed (Estimated number),700
2003Q1,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3.1
2003Q1,Total,Females,25-54,Unemployed (Estimated number),1600
2003Q1,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",0.8
2003Q1,Total,Females,55-74,Unemployed (Estimated number),100
2003Q1,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4.2
2003Q1,Capital region,Males and females,16-74,Unemployed (Estimated number),4100
2003Q1,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",7.1
2003Q1,Capital region,Males and females,16-24,Unemployed (Estimated number),1100
2003Q1,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3.9
2003Q1,Capital region,Males and females,25-54,Unemployed (Estimated number),2600
2003Q1,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.8
2003Q1,Capital region,Males and females,55-74,Unemployed (Estimated number),400
2003Q1,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",5.1
2003Q1,Capital region,Males,16-74,Unemployed (Estimated number),2600
2003Q1,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",12.4
2003Q1,Capital region,Males,16-24,Unemployed (Estimated number),900
2003Q1,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.7
2003Q1,Capital region,Males,25-54,Unemployed (Estimated number),1300
2003Q1,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.6
2003Q1,Capital region,Males,55-74,Unemployed (Estimated number),400
2003Q1,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.2
2003Q1,Capital region,Females,16-74,Unemployed (Estimated number),1500
2003Q1,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",2.3
2003Q1,Capital region,Females,16-24,Unemployed (Estimated number),200
2003Q1,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",4.1
2003Q1,Capital region,Females,25-54,Unemployed (Estimated number),1300
2003Q1,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",0.7
2003Q1,Capital region,Females,55-74,Unemployed (Estimated number),0
2003Q1,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.7
2003Q1,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),2100
2003Q1,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",13.2
2003Q1,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),1100
2003Q1,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",1.9
2003Q1,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),700
2003Q1,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.1
2003Q1,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),300
2003Q1,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.2
2003Q1,Outside Capital region,Males,16-74,Unemployed (Estimated number),1300
2003Q1,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",11.9
2003Q1,Outside Capital region,Males,16-24,Unemployed (Estimated number),600
2003Q1,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.3
2003Q1,Outside Capital region,Males,25-54,Unemployed (Estimated number),400
2003Q1,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.7
2003Q1,Outside Capital region,Males,55-74,Unemployed (Estimated number),300
2003Q1,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.2
2003Q1,Outside Capital region,Females,16-74,Unemployed (Estimated number),800
2003Q1,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",14.8
2003Q1,Outside Capital region,Females,16-24,Unemployed (Estimated number),500
2003Q1,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",1.5
2003Q1,Outside Capital region,Females,25-54,Unemployed (Estimated number),300
2003Q1,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",0.9
2003Q1,Outside Capital region,Females,55-74,Unemployed (Estimated number),0
2003Q2,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4
2003Q2,Total,Males and females,16-74,Unemployed (Estimated number),6500
2003Q2,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",11.9
2003Q2,Total,Males and females,16-24,Unemployed (Estimated number),3500
2003Q2,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.3
2003Q2,Total,Males and females,25-54,Unemployed (Estimated number),2400
2003Q2,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.2
2003Q2,Total,Males and females,55-74,Unemployed (Estimated number),600
2003Q2,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4
2003Q2,Total,Males,16-74,Unemployed (Estimated number),3400
2003Q2,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",12.3
2003Q2,Total,Males,16-24,Unemployed (Estimated number),1900
2003Q2,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.1
2003Q2,Total,Males,25-54,Unemployed (Estimated number),1200
2003Q2,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",2.2
2003Q2,Total,Males,55-74,Unemployed (Estimated number),300
2003Q2,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",4
2003Q2,Total,Females,16-74,Unemployed (Estimated number),3100
2003Q2,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",11.5
2003Q2,Total,Females,16-24,Unemployed (Estimated number),1600
2003Q2,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.5
2003Q2,Total,Females,25-54,Unemployed (Estimated number),1200
2003Q2,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.2
2003Q2,Total,Females,55-74,Unemployed (Estimated number),300
2003Q2,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",5.2
2003Q2,Capital region,Males and females,16-74,Unemployed (Estimated number),5500
2003Q2,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",14.8
2003Q2,Capital region,Males and females,16-24,Unemployed (Estimated number),2900
2003Q2,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3.2
2003Q2,Capital region,Males and females,25-54,Unemployed (Estimated number),2200
2003Q2,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.3
2003Q2,Capital region,Males and females,55-74,Unemployed (Estimated number),300
2003Q2,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",5.4
2003Q2,Capital region,Males,16-74,Unemployed (Estimated number),2900
2003Q2,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",15.7
2003Q2,Capital region,Males,16-24,Unemployed (Estimated number),1600
2003Q2,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3
2003Q2,Capital region,Males,25-54,Unemployed (Estimated number),1100
2003Q2,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3
2003Q2,Capital region,Males,55-74,Unemployed (Estimated number),200
2003Q2,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.1
2003Q2,Capital region,Females,16-74,Unemployed (Estimated number),2600
2003Q2,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",13.8
2003Q2,Capital region,Females,16-24,Unemployed (Estimated number),1400
2003Q2,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3.4
2003Q2,Capital region,Females,25-54,Unemployed (Estimated number),1100
2003Q2,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.6
2003Q2,Capital region,Females,55-74,Unemployed (Estimated number),100
2003Q2,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",1.7
2003Q2,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),1000
2003Q2,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",5.9
2003Q2,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),600
2003Q2,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",0.5
2003Q2,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),200
2003Q2,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.2
2003Q2,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),200
2003Q2,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",1.6
2003Q2,Outside Capital region,Males,16-74,Unemployed (Estimated number),500
