Atvinnugrein (ÍSAT2008),vsk-þrep,Ár,Tímabil,value
Total,Total,2008,Jan.-Feb.,362955.8
Total,Total,2008,March-April,434312.6
Total,Total,2008,May-June,475138.3
Total,Total,2008,July-August,465279.2
Total,Total,2008,Sept.-Oct.,477665.1
Total,Total,2008,Nov.-Dec.,503664.5
Total,Total,2009,Jan.-Feb.,348872.2
Total,Total,2009,March-April,387823.9
Total,Total,2009,May-June,447825.5
Total,Total,2009,July-August,456861.8
Total,Total,2009,Sept.-Oct.,453184.4
Total,Total,2009,Nov.-Dec.,504896.7
Total,Total,2010,Jan.-Feb.,386391.3
Total,Total,2010,March-April,453087.4
Total,Total,2010,May-June,511575.2
Total,Total,2010,July-August,474735.2
Total,Total,2010,Sept.-Oct.,458202.2
Total,Total,2010,Nov.-Dec.,520379
Total,Total,2011,Jan.-Feb.,391102.9
Total,Total,2011,March-April,449192.8
Total,Total,2011,May-June,526670.1
Total,Total,2011,July-August,534178.3
Total,Total,2011,Sept.-Oct.,519153.6
Total,Total,2011,Nov.-Dec.,549030
Total,Total,2012,Jan.-Feb.,452291.7
Total,Total,2012,March-April,501260.3
Total,Total,2012,May-June,574455.8
Total,Total,2012,July-August,554329.3
Total,Total,2012,Sept.-Oct.,546443.6
Total,Total,2012,Nov.-Dec.,578435.8
Total,Total,2013,Jan.-Feb.,486009.9
Total,Total,2013,March-April,511296.5
Total,Total,2013,May-June,574058.3
Total,Total,2013,July-August,583129.4
Total,Total,2013,Sept.-Oct.,575204.5
Total,Total,2013,Nov.-Dec.,603898.9
Total,Total,2014,Jan.-Feb.,476143.6
Total,Total,2014,March-April,517922.9
Total,Total,2014,May-June,607656.1
Total,Total,2014,July-August,601465.2
Total,Total,2014,Sept.-Oct.,602766.4
Total,Total,2014,Nov.-Dec.,645752.8
Total,Total,2015,Jan.-Feb.,517149.3
Total,Total,2015,March-April,592928.9
Total,Total,2015,May-June,677327.9
Total,Total,2015,July-August,656279
Total,Total,2015,Sept.-Oct.,630248.1
Total,Total,2015,Nov.-Dec.,694850
Total,Total,2016,Jan.-Feb.,540584.5
Total,Total,2016,March-April,627231.1
Total,Total,2016,May-June,745849.3
Total,Total,2016,July-August,741505.7
Total,Total,2016,Sept.-Oct.,684219.2
Total,Total,2016,Nov.-Dec.,710796.4
Total,Total,2017,Jan.-Feb.,547972.3
Total,Total,2017,March-April,648887.4
Total,Total,2017,May-June,763283.8
Total,Total,2017,July-August,748270.7
Total,Total,2017,Sept.-Oct.,739794
Total,Total,2017,Nov.-Dec.,780026
Total,Total,2018,Jan.-Feb.,621836.3
Total,Total,2018,March-April,698008.7
Total,Total,2018,May-June,814521.7
Total,Total,2018,July-August,815089.3
