manudur,maeling,flokkur,gildi
2000-02,Atvinnuleysi %,Landið allt,0.018410495337161954
2000-03,Atvinnuleysi %,Landið allt,0.01789867453465704
2000-04,Atvinnuleysi %,Landið allt,0.016235465866444494
2000-05,Atvinnuleysi %,Landið allt,0.013886206082458738
2000-06,Atvinnuleysi %,Landið allt,0.01254733039219092
2000-07,Atvinnuleysi %,Landið allt,0.011324577100989297
2000-08,Atvinnuleysi %,Landið allt,0.010734011880362663
2000-09,Atvinnuleysi %,Landið allt,0.009046151666489569
2000-10,Atvinnuleysi %,Landið allt,0.009299401716812625
2000-11,Atvinnuleysi %,Landið allt,0.010735167257739864
2000-12,Atvinnuleysi %,Landið allt,0.014119399243524615
2001-01,Atvinnuleysi %,Landið allt,0.016043688424781374
2001-02,Atvinnuleysi %,Landið allt,0.015674698350614368
2001-03,Atvinnuleysi %,Landið allt,0.014855540385963617
2001-04,Atvinnuleysi %,Landið allt,0.016330395934389254
2001-05,Atvinnuleysi %,Landið allt,0.015803206935735028
2001-06,Atvinnuleysi %,Landið allt,0.012397904617878869
2001-07,Atvinnuleysi %,Landið allt,0.011288848868466704
2001-08,Atvinnuleysi %,Landið allt,0.010926504948943793
2001-09,Atvinnuleysi %,Landið allt,0.010557315108073569
2001-10,Atvinnuleysi %,Landið allt,0.012504073565042436
2001-11,Atvinnuleysi %,Landið allt,0.01565809543775437
2001-12,Atvinnuleysi %,Landið allt,0.019569004778393854
2002-01,Atvinnuleysi %,Landið allt,0.024216232053911515
2002-02,Atvinnuleysi %,Landið allt,0.025789420245710223
2002-03,Atvinnuleysi %,Landið allt,0.026540148084249874
2002-04,Atvinnuleysi %,Landið allt,0.026419738951225097
2002-05,Atvinnuleysi %,Landið allt,0.02455741544396225
2002-06,Atvinnuleysi %,Landið allt,0.02291728393471344
2002-07,Atvinnuleysi %,Landið allt,0.022937121098902526
2002-08,Atvinnuleysi %,Landið allt,0.02249700943103186
2002-09,Atvinnuleysi %,Landið allt,0.021922986713759467
2002-10,Atvinnuleysi %,Landið allt,0.024614202918790587
2002-11,Atvinnuleysi %,Landið allt,0.02790745430898761
2002-12,Atvinnuleysi %,Landið allt,0.029951361607739382
2003-01,Atvinnuleysi %,Landið allt,0.03785351387889492
2003-02,Atvinnuleysi %,Landið allt,0.04143549002252398
2003-03,Atvinnuleysi %,Landið allt,0.0402662063455832
2003-04,Atvinnuleysi %,Landið allt,0.039116696843824336
2003-05,Atvinnuleysi %,Landið allt,0.03621301289806632
2003-06,Atvinnuleysi %,Landið allt,0.03247392371408119
2003-07,Atvinnuleysi %,Landið allt,0.03010218883981819
2003-08,Atvinnuleysi %,Landið allt,0.029195165616331457
2003-09,Atvinnuleysi %,Landið allt,0.026721972388207834
2003-10,Atvinnuleysi %,Landið allt,0.028123441050939526
2003-11,Atvinnuleysi %,Landið allt,0.02988521361135638
2003-12,Atvinnuleysi %,Landið allt,0.031343224215425
2004-01,Atvinnuleysi %,Landið allt,0.03665045921123717
2004-02,Atvinnuleysi %,Landið allt,0.03635131761937025
2004-03,Atvinnuleysi %,Landið allt,0.03528305621536025
2004-04,Atvinnuleysi %,Landið allt,0.034509936384619716
2004-05,Atvinnuleysi %,Landið allt,0.033193109381456566
2004-06,Atvinnuleysi %,Landið allt,0.03089133243811599
2004-07,Atvinnuleysi %,Landið allt,0.03010824142822456
2004-08,Atvinnuleysi %,Landið allt,0.02893407943223693
2004-09,Atvinnuleysi %,Landið allt,0.02639576690862221
2004-10,Atvinnuleysi %,Landið allt,0.026643593863733123
2004-11,Atvinnuleysi %,Landið allt,0.026151578182111918
2004-12,Atvinnuleysi %,Landið allt,0.026858689653359965
2005-01,Atvinnuleysi %,Landið allt,0.029801075084739958
2005-02,Atvinnuleysi %,Landið allt,0.028452083404663264
2005-03,Atvinnuleysi %,Landið allt,0.026014311637621117
2005-04,Atvinnuleysi %,Landið allt,0.02305359211673891
2005-05,Atvinnuleysi %,Landið allt,0.021686778354876923
2005-06,Atvinnuleysi %,Landið allt,0.021101001028364638
2005-07,Atvinnuleysi %,Landið allt,0.02000855229986661
2005-08,Atvinnuleysi %,Landið allt,0.018195975313212025
2005-09,Atvinnuleysi %,Landið allt,0.014468704326570209
2005-10,Atvinnuleysi %,Landið allt,0.014416345098245452
2005-11,Atvinnuleysi %,Landið allt,0.014771330340062713
2005-12,Atvinnuleysi %,Landið allt,0.015231496394270275
2006-01,Atvinnuleysi %,Landið allt,0.016241515254259823
2006-02,Atvinnuleysi %,Landið allt,0.015543455859377596
2006-03,Atvinnuleysi %,Landið allt,0.014512987228837166
2006-04,Atvinnuleysi %,Landið allt,0.013345887229780539
2006-05,Atvinnuleysi %,Landið allt,0.013029933460136114
2006-06,Atvinnuleysi %,Landið allt,0.012821403972170792
2006-07,Atvinnuleysi %,Landið allt,0.013532940068408269
2006-08,Atvinnuleysi %,Landið allt,0.012064393000545284
2006-09,Atvinnuleysi %,Landið allt,0.010087741040003966
2006-10,Atvinnuleysi %,Landið allt,0.01029888684371987
2006-11,Atvinnuleysi %,Landið allt,0.010950001878216445
2006-12,Atvinnuleysi %,Landið allt,0.011763895671337165
2007-01,Atvinnuleysi %,Landið allt,0.012796613460716921
2007-02,Atvinnuleysi %,Landið allt,0.013184978057400288
2007-03,Atvinnuleysi %,Landið allt,0.012518285499760508
2007-04,Atvinnuleysi %,Landið allt,0.011480251015134736
2007-05,Atvinnuleysi %,Landið allt,0.010821951519625938
2007-06,Atvinnuleysi %,Landið allt,0.00988622656491511
2007-07,Atvinnuleysi %,Landið allt,0.009416510520474049
2007-08,Atvinnuleysi %,Landið allt,0.00880783873778181
2007-09,Atvinnuleysi %,Landið allt,0.007972406879184619
2007-10,Atvinnuleysi %,Landið allt,0.008084397420370223
2007-11,Atvinnuleysi %,Landið allt,0.008121284404797768
2007-12,Atvinnuleysi %,Landið allt,0.008342606311363035
2008-01,Atvinnuleysi %,Landið allt,0.009675661796479187
2008-02,Atvinnuleysi %,Landið allt,0.010214242323661847
2008-03,Atvinnuleysi %,Landið allt,0.010483532587253177
2008-04,Atvinnuleysi %,Landið allt,0.010220420602748859
2008-05,Atvinnuleysi %,Landið allt,0.010351375322178372
2008-06,Atvinnuleysi %,Landið allt,0.010964481508598368
2008-07,Atvinnuleysi %,Landið allt,0.011487141172762401
2008-08,Atvinnuleysi %,Landið allt,0.012467750785071386
2008-09,Atvinnuleysi %,Landið allt,0.013010588249028145
2008-10,Atvinnuleysi %,Landið allt,0.018673833186034907
2008-11,Atvinnuleysi %,Landið allt,0.0327363237920026
2008-12,Atvinnuleysi %,Landið allt,0.04750825171798063
2009-01,Atvinnuleysi %,Landið allt,0.06559680799006261
2009-02,Atvinnuleysi %,Landið allt,0.08157045866486437
2009-03,Atvinnuleysi %,Landið allt,0.0893735983533532
2009-04,Atvinnuleysi %,Landið allt,0.09102024515375871
2009-05,Atvinnuleysi %,Landið allt,0.08698476649104822
2009-06,Atvinnuleysi %,Landið allt,0.08075071633237822
2009-07,Atvinnuleysi %,Landið allt,0.07959726883462562
2009-08,Atvinnuleysi %,Landið allt,0.07746209929406318
2009-09,Atvinnuleysi %,Landið allt,0.07238300712804253
2009-10,Atvinnuleysi %,Landið allt,0.07558347438434214
2009-11,Atvinnuleysi %,Landið allt,0.07960640808639474
2009-12,Atvinnuleysi %,Landið allt,0.08210360693255775
2010-01,Atvinnuleysi %,Landið allt,0.09004678391221281
2010-02,Atvinnuleysi %,Landið allt,0.0926672833795868
2010-03,Atvinnuleysi %,Landið allt,0.09287079864323157
2010-04,Atvinnuleysi %,Landið allt,0.09046561825470244
2010-05,Atvinnuleysi %,Landið allt,0.08323934536379343
2010-06,Atvinnuleysi %,Landið allt,0.07562594619774077
2010-07,Atvinnuleysi %,Landið allt,0.07489125901209558
2010-08,Atvinnuleysi %,Landið allt,0.07313710789174548
2010-09,Atvinnuleysi %,Landið allt,0.07086614173228346
2010-10,Atvinnuleysi %,Landið allt,0.07499145139730796
2010-11,Atvinnuleysi %,Landið allt,0.07734319282309222
