manudur,rikisfang,atvinnugrein,fjoldi
2000-02,Allir,Landbúnaður og skógrækt,51
2000-03,Allir,Landbúnaður og skógrækt,41
2000-04,Allir,Landbúnaður og skógrækt,36
2000-05,Allir,Landbúnaður og skógrækt,30
2000-06,Allir,Landbúnaður og skógrækt,19
2000-07,Allir,Landbúnaður og skógrækt,23
2000-08,Allir,Landbúnaður og skógrækt,21
2000-09,Allir,Landbúnaður og skógrækt,16
2000-10,Allir,Landbúnaður og skógrækt,17
2000-11,Allir,Landbúnaður og skógrækt,32
2000-12,Allir,Landbúnaður og skógrækt,39
2001-01,Allir,Landbúnaður og skógrækt,30
2001-02,Allir,Landbúnaður og skógrækt,31
2001-03,Allir,Landbúnaður og skógrækt,29
2001-04,Allir,Landbúnaður og skógrækt,26
2001-05,Allir,Landbúnaður og skógrækt,27
2001-06,Allir,Landbúnaður og skógrækt,12
2001-07,Allir,Landbúnaður og skógrækt,14
2001-08,Allir,Landbúnaður og skógrækt,15
2001-09,Allir,Landbúnaður og skógrækt,19
2001-10,Allir,Landbúnaður og skógrækt,26
2001-11,Allir,Landbúnaður og skógrækt,33
2001-12,Allir,Landbúnaður og skógrækt,51
2002-01,Allir,Landbúnaður og skógrækt,59
2002-02,Allir,Landbúnaður og skógrækt,59
2002-03,Allir,Landbúnaður og skógrækt,57
2002-04,Allir,Landbúnaður og skógrækt,42
2002-05,Allir,Landbúnaður og skógrækt,49
2002-06,Allir,Landbúnaður og skógrækt,33
2002-07,Allir,Landbúnaður og skógrækt,27
2002-08,Allir,Landbúnaður og skógrækt,20
2002-09,Allir,Landbúnaður og skógrækt,24
2002-10,Allir,Landbúnaður og skógrækt,32
2002-11,Allir,Landbúnaður og skógrækt,36
2002-12,Allir,Landbúnaður og skógrækt,52
2003-01,Allir,Landbúnaður og skógrækt,58
2003-02,Allir,Landbúnaður og skógrækt,64
2003-03,Allir,Landbúnaður og skógrækt,60
2003-04,Allir,Landbúnaður og skógrækt,58
2003-05,Allir,Landbúnaður og skógrækt,54
2003-06,Allir,Landbúnaður og skógrækt,42
2003-07,Allir,Landbúnaður og skógrækt,34
2003-08,Allir,Landbúnaður og skógrækt,30
2003-09,Allir,Landbúnaður og skógrækt,30
2003-10,Allir,Landbúnaður og skógrækt,33
2003-11,Allir,Landbúnaður og skógrækt,45
2003-12,Allir,Landbúnaður og skógrækt,52
2004-01,Allir,Landbúnaður og skógrækt,51
2004-02,Allir,Landbúnaður og skógrækt,46
2004-03,Allir,Landbúnaður og skógrækt,41
2004-04,Allir,Landbúnaður og skógrækt,37
2004-05,Allir,Landbúnaður og skógrækt,45
2004-06,Allir,Landbúnaður og skógrækt,36
2004-07,Allir,Landbúnaður og skógrækt,30
2004-08,Allir,Landbúnaður og skógrækt,29
2004-09,Allir,Landbúnaður og skógrækt,25
2004-10,Allir,Landbúnaður og skógrækt,29
2004-11,Allir,Landbúnaður og skógrækt,31
2004-12,Allir,Landbúnaður og skógrækt,37
2005-01,Allir,Landbúnaður og skógrækt,41
2005-02,Allir,Landbúnaður og skógrækt,33
2005-03,Allir,Landbúnaður og skógrækt,28
2005-04,Allir,Landbúnaður og skógrækt,30
2005-05,Allir,Landbúnaður og skógrækt,20
2005-06,Allir,Landbúnaður og skógrækt,24
2005-07,Allir,Landbúnaður og skógrækt,25
2005-08,Allir,Landbúnaður og skógrækt,19
2005-09,Allir,Landbúnaður og skógrækt,15
2005-10,Allir,Landbúnaður og skógrækt,22
2005-11,Allir,Landbúnaður og skógrækt,25
2005-12,Allir,Landbúnaður og skógrækt,26
2006-01,Allir,Landbúnaður og skógrækt,25
2006-02,Allir,Landbúnaður og skógrækt,22
2006-03,Allir,Landbúnaður og skógrækt,24
2006-04,Allir,Landbúnaður og skógrækt,22
2006-05,Allir,Landbúnaður og skógrækt,18
2006-06,Allir,Landbúnaður og skógrækt,18
2006-07,Allir,Landbúnaður og skógrækt,18
2006-08,Allir,Landbúnaður og skógrækt,16
2006-09,Allir,Landbúnaður og skógrækt,13
2006-10,Allir,Landbúnaður og skógrækt,14
2006-11,Allir,Landbúnaður og skógrækt,20
2006-12,Allir,Landbúnaður og skógrækt,22
2007-01,Allir,Landbúnaður og skógrækt,23
2007-02,Allir,Landbúnaður og skógrækt,27
2007-03,Allir,Landbúnaður og skógrækt,24
2007-04,Allir,Landbúnaður og skógrækt,21
2007-05,Allir,Landbúnaður og skógrækt,21
2007-06,Allir,Landbúnaður og skógrækt,17
2007-07,Allir,Landbúnaður og skógrækt,15
2007-08,Allir,Landbúnaður og skógrækt,10
2007-09,Allir,Landbúnaður og skógrækt,9
2007-10,Allir,Landbúnaður og skógrækt,11
2007-11,Allir,Landbúnaður og skógrækt,11
2007-12,Allir,Landbúnaður og skógrækt,13
2008-01,Allir,Landbúnaður og skógrækt,15
2008-02,Allir,Landbúnaður og skógrækt,16
2008-03,Allir,Landbúnaður og skógrækt,15
2008-04,Allir,Landbúnaður og skógrækt,19
2008-05,Allir,Landbúnaður og skógrækt,16
2008-06,Allir,Landbúnaður og skógrækt,13
2008-07,Allir,Landbúnaður og skógrækt,19
2008-08,Allir,Landbúnaður og skógrækt,15
2008-09,Allir,Landbúnaður og skógrækt,20
2008-10,Allir,Landbúnaður og skógrækt,31
2008-11,Allir,Landbúnaður og skógrækt,59
2008-12,Allir,Landbúnaður og skógrækt,78
2009-01,Allir,Landbúnaður og skógrækt,107
2009-02,Allir,Landbúnaður og skógrækt,135
2009-03,Allir,Landbúnaður og skógrækt,142
2009-04,Allir,Landbúnaður og skógrækt,132
2009-05,Allir,Landbúnaður og skógrækt,127
2009-06,Allir,Landbúnaður og skógrækt,113
