Ársfjórðungur,Atvinnugreinar/Launþegahópur,Eining,value
2008Q1,Total,Value of index,51.4
2008Q1,Total,"Quarterly change, %",
2008Q1,Total,"Annual change, %",
2008Q1,Private sector,Value of index,54
2008Q1,Private sector,"Quarterly change, %",
2008Q1,Private sector,"Annual change, %",
2008Q1,Public sector,Value of index,48.3
2008Q1,Public sector,"Quarterly change, %",
2008Q1,Public sector,"Annual change, %",
2008Q1,Manufacturing (C),Value of index,48.2
2008Q1,Manufacturing (C),"Quarterly change, %",
2008Q1,Manufacturing (C),"Annual change, %",
2008Q1,"Electricity, gas, steam and air conditioning supply (D)",Value of index,47.4
2008Q1,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",
2008Q1,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",
2008Q1,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,52.2
2008Q1,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",
2008Q1,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",
2008Q1,Construction (F),Value of index,51.6
2008Q1,Construction (F),"Quarterly change, %",
2008Q1,Construction (F),"Annual change, %",
2008Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,49.4
2008Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",
2008Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",
2008Q1,Transportation and storage (H),Value of index,49.2
2008Q1,Transportation and storage (H),"Quarterly change, %",
2008Q1,Transportation and storage (H),"Annual change, %",
2008Q1,Accommodation and food service activities (I),Value of index,48.8
2008Q1,Accommodation and food service activities (I),"Quarterly change, %",
2008Q1,Accommodation and food service activities (I),"Annual change, %",
2008Q1,Information and communication (J),Value of index,50.2
2008Q1,Information and communication (J),"Quarterly change, %",
2008Q1,Information and communication (J),"Annual change, %",
2008Q1,Financial and insurance activities (K),Value of index,75.4
2008Q1,Financial and insurance activities (K),"Quarterly change, %",
2008Q1,Financial and insurance activities (K),"Annual change, %",
2008Q1,Real estate activities (L),Value of index,54.8
2008Q1,Real estate activities (L),"Quarterly change, %",
2008Q1,Real estate activities (L),"Annual change, %",
2008Q1,"Professional, scientific and technical activities (M)",Value of index,56
2008Q1,"Professional, scientific and technical activities (M)","Quarterly change, %",
2008Q1,"Professional, scientific and technical activities (M)","Annual change, %",
2008Q1,Administrative and support service activities (N),Value of index,49.2
2008Q1,Administrative and support service activities (N),"Quarterly change, %",
2008Q1,Administrative and support service activities (N),"Annual change, %",
2008Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,48.4
2008Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",
2008Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",
2008Q2,Total,Value of index,50.3
2008Q2,Total,"Quarterly change, %",-2.2
2008Q2,Total,"Annual change, %",
2008Q2,Private sector,Value of index,51.8
2008Q2,Private sector,"Quarterly change, %",-4.1
2008Q2,Private sector,"Annual change, %",
2008Q2,Public sector,Value of index,49.3
2008Q2,Public sector,"Quarterly change, %",2.1
2008Q2,Public sector,"Annual change, %",
2008Q2,Manufacturing (C),Value of index,49.1
2008Q2,Manufacturing (C),"Quarterly change, %",1.9
2008Q2,Manufacturing (C),"Annual change, %",
2008Q2,"Electricity, gas, steam and air conditioning supply (D)",Value of index,47.4
2008Q2,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",0
2008Q2,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",
2008Q2,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,51.5
2008Q2,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-1.4
2008Q2,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",
2008Q2,Construction (F),Value of index,53.6
2008Q2,Construction (F),"Quarterly change, %",3.9
2008Q2,Construction (F),"Annual change, %",
2008Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,49.9
2008Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",1
2008Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",
2008Q2,Transportation and storage (H),Value of index,49.6
2008Q2,Transportation and storage (H),"Quarterly change, %",0.8
2008Q2,Transportation and storage (H),"Annual change, %",
2008Q2,Accommodation and food service activities (I),Value of index,50.1
2008Q2,Accommodation and food service activities (I),"Quarterly change, %",2.7
2008Q2,Accommodation and food service activities (I),"Annual change, %",
2008Q2,Information and communication (J),Value of index,50.3
2008Q2,Information and communication (J),"Quarterly change, %",0.2
2008Q2,Information and communication (J),"Annual change, %",
2008Q2,Financial and insurance activities (K),Value of index,54.6
2008Q2,Financial and insurance activities (K),"Quarterly change, %",-27.6
2008Q2,Financial and insurance activities (K),"Annual change, %",
2008Q2,Real estate activities (L),Value of index,57.5
2008Q2,Real estate activities (L),"Quarterly change, %",4.9
2008Q2,Real estate activities (L),"Annual change, %",
2008Q2,"Professional, scientific and technical activities (M)",Value of index,55.8
2008Q2,"Professional, scientific and technical activities (M)","Quarterly change, %",-0.4
2008Q2,"Professional, scientific and technical activities (M)","Annual change, %",
2008Q2,Administrative and support service activities (N),Value of index,49.6
2008Q2,Administrative and support service activities (N),"Quarterly change, %",0.8
2008Q2,Administrative and support service activities (N),"Annual change, %",
2008Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,49.3
2008Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",1.9
2008Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",
2008Q3,Total,Value of index,49.3
2008Q3,Total,"Quarterly change, %",-2
2008Q3,Total,"Annual change, %",
2008Q3,Private sector,Value of index,50.9
2008Q3,Private sector,"Quarterly change, %",-1.7
2008Q3,Private sector,"Annual change, %",
2008Q3,Public sector,Value of index,47.9
2008Q3,Public sector,"Quarterly change, %",-2.8
2008Q3,Public sector,"Annual change, %",
2008Q3,Manufacturing (C),Value of index,47.3
2008Q3,Manufacturing (C),"Quarterly change, %",-3.7
2008Q3,Manufacturing (C),"Annual change, %",
2008Q3,"Electricity, gas, steam and air conditioning supply (D)",Value of index,45.4
2008Q3,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-4.2
2008Q3,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",
2008Q3,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,49.4
2008Q3,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-4.1
2008Q3,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",
2008Q3,Construction (F),Value of index,52.7
2008Q3,Construction (F),"Quarterly change, %",-1.7
2008Q3,Construction (F),"Annual change, %",
2008Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,48
2008Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-3.8
2008Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",
2008Q3,Transportation and storage (H),Value of index,48.6
2008Q3,Transportation and storage (H),"Quarterly change, %",-2
2008Q3,Transportation and storage (H),"Annual change, %",
